time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(60h:43m:08s)	11230	6,6,3,2,2,0;5,4,4,4,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11231	6,6,3,2,2,0;6,4,3,3,3,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11232	6,6,3,2,2,0;5,5,3,3,3,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11233	6,6,3,2,2,0;5,4,4,3,3,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11234	6,6,3,2,2,0;4,4,4,4,3,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11235	6,6,3,2,2,0;6,6,4,1,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11236	6,6,3,2,2,0;6,5,5,1,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11237	6,6,3,2,2,0;6,6,3,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11238	6,6,3,2,2,0;6,5,4,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11239	6,6,3,2,2,0;5,5,5,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11240	6,6,3,2,2,0;6,5,3,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11241	6,6,3,2,2,0;6,4,4,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11242	6,6,3,2,2,0;5,5,4,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11243	6,6,3,2,2,0;5,4,4,4,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11244	6,6,3,2,2,0;6,6,2,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11245	6,6,3,2,2,0;6,5,3,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11246	6,6,3,2,2,0;6,4,4,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11247	6,6,3,2,2,0;5,5,4,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11248	6,6,3,2,2,0;6,4,3,3,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11249	6,6,3,2,2,0;5,5,3,3,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11250	6,6,3,2,2,0;5,4,4,3,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11251	6,6,3,2,2,0;4,4,4,4,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11252	6,6,3,2,2,0;6,3,3,3,3,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
